,t (s),U (W/m2),T(e/4),T(e/2),T(3e/4)
195,5850.0,0.0,25.342446741792497,24.99749775853225,24.652553258207274
196,5880.0,0.0,25.332546785222068,24.997497994148326,24.662453214777702
197,5910.0,0.0,25.322930956977032,24.99749820499718,24.672069043022738
198,5940.0,0.0,25.313591102586745,24.997498393682253,24.681408897413025
199,5970.0,0.0,25.304519301613503,24.99749856253334,24.690480698386263
200,6000.0,0.0,25.29570786093584,24.99749871363533,24.699292139063928
201,6030.0,0.0,25.28714930822452,24.997498848853954,24.707850691775242
202,6060.0,0.0,25.278836385605864,24.997498969858817,24.716163614393903
203,6090.0,0.0,25.270762043506824,24.99749907814403,24.724237956492946
204,6120.0,0.0,25.262919434676807,24.99749917504664,24.732080565322956
205,6150.0,0.0,25.255301908381018,24.997499261763153,24.73969809161874
206,6180.0,0.0,25.24790300476046,24.997499339364293,24.747096995239296
207,6210.0,0.0,25.240716449353805,24.997499408808245,24.75428355064595
208,6240.0,0.0,25.2337361477765,24.997499470952466,24.761263852223255
209,6270.0,0.0,25.22695618055257,24.997499526564276,24.76804381944719
210,6300.0,0.0,25.220370798094724,24.997499576330352,24.77462920190503
211,6330.0,0.0,25.213974415828606,24.99749962086517,24.78102558417115
212,6360.0,0.0,25.207761609456877,24.997499660718628,24.78723839054288
213,6390.0,0.0,25.201727110359318,24.997499696382818,24.79327288964044
214,6420.0,0.0,25.19586580112486,24.9974997282981,24.799134198874896
215,6450.0,0.0,25.19017271121193,24.997499756858538,24.804827288787827
216,6480.0,0.0,25.184643012733268,24.9974997824168,24.810356987266484
217,6510.0,0.0,25.17927201636179,24.997499805288452,24.815727983637963
218,6540.0,0.0,25.174055167353874,24.997499825755913,24.820944832645875
219,6570.0,0.0,25.168988041686855,24.997499844071896,24.82601195831289
220,6600.0,0.0,25.164066342307326,24.99749986046256,24.830933657692412
221,6630.0,0.0,25.159285895487127,24.99749987513029,24.83571410451261
222,6660.0,0.0,25.15464264728391,24.997499888256197,24.840357352715827
223,6690.0,0.0,25.150132660103303,24.99749990000234,24.844867339896435
224,6720.0,0.0,25.14575210935972,24.99749991051377,24.84924789064001
225,6750.0,0.0,25.141497280233025,24.997499919920273,24.853502719766713
226,6780.0,0.0,25.137364564518244,24.99749992833799,24.857635435481498
227,6810.0,0.0,25.133350457565733,24.997499935870863,24.861649542434
228,6840.0,0.0,25.12945155530915,24.997499942611903,24.86554844469058
229,6870.0,0.0,25.1256645513787,24.99749994864435,24.86933544862103
230,6900.0,0.0,25.121986234297268,24.997499954042684,24.87301376570246
231,6930.0,0.0,25.118413484756978,24.997499958873558,24.87658651524275
